ii	id	text	title
10	11	joined the union . Other union miners were likewise ordered to draw their pay and leave . Angry members of the union converged on the area and blew up the Bunker Hill Mill , killing two company men . In both disputes , the union 's complaints included pay , hours of work , the right of miners to belong to the union , and the mine owners ' use of informants and undercover agents . The violence committed by union miners was answered with a brutal response in 1892 and in 1899 . Through the Western Federation of Miners ( WFM ) union , the battles in the mining district became closely tied to a major miners ' strike in Colorado . The struggle culminated in the December 1905 assassination of former Governor Frank Steunenberg by Harry Orchard ( also known as Albert Horsley ) , a member of the WFM . Orchard was allegedly incensed by Steunenberg 's efforts as governor to put down the 1899 miner uprising after being elected on a pro-labor platform . Pinkerton detective James McParland conducted the investigation into the assassination . In 1907 , WFM Secretary Treasurer `` Big Bill '' Haywood and two other WFM leaders were tried on a charge of conspiracy to murder Steunenberg , with Orchard testifying against them as part of a deal made with McParland . The nationally publicized trial featured Senator William E. Borah as prosecuting attorney and Clarence Darrow representing the defendants . The	History of Idaho
11	12	defense team presented evidence that Orchard had been a Pinkerton agent and had acted as a paid informant for the Cripple Creek Mine Owners ' Association . Darrow argued that Orchard 's real motive in the assassination had been revenge for a declaration of martial law by Steunenberg , which prompted Orchard to gamble away a share in the Hercules silver mine that would otherwise have made him wealthy . Two of the WFM leaders were acquitted in two separate trials , and the third was released . Orchard was convicted and sentenced to death . His sentence was commuted , and he spent the rest of his life in an Idaho prison . Mining in Idaho ( edit ) Mining in Idaho was a major commercial venture , bringing a great of attention to the state . From 1860 - 1866 Idaho produced 19 % of all gold in the United States , or 2.5 million ounces . Most of Idaho 's mining production , 1860 -- 1969 , has come from metals equating to $2.88 billion out of $3.42 billion , according to the best estimates . Of the metallic mining areas of Idaho , the Coeur d'Alene region has produced the most by far , and accounts for about 80 % of the total Idaho yield . Mining regions ( edit ) Several others -- Boise Basin , Wood River Valley , Stibnite , Blackbirg , and Owyhee -- range considerably above the other big producers .	History of Idaho
12	13	Atlanta , Bear Valley , Bay Horse , Florence , Gilmore , Mackay , Patterson , and Yankee Fork all ran on the order of ten to twenty million dollars , and Elk City , Leesburg , Pierce , Rocky Bar , and Warren 's make up the rest of the major Idaho mining areas that stand out in the sixty or so regions of production worthy of mention . A number of small operations do not appear in this list of Idaho metallic mining areas : a small amount of gold was recovered from Goose Creek on Salmon Meadows ; a mine near Cleveland was prospected in 1922 and produced a little manganese in 1926 ; a few tons of copper came from Fort Hall , and a few more tons of copper came from a mine near Montpelier . Similarly , a few tons of lead came from a property near Bear Lake , and lead - silver is known on Cassia Creek near Elba . Some gold quartz and lead - silver workings are on Ruby Creek west of Elk River , and there is a slightly developed copper operation on Deer Creek near Winchester . Molybdenum is known on Roaring River and on the east fork of the Salmon . Some scattered mining enterprises have been undertaken around Soldier Mountain and on Squaw Creek north of Montour . Progressive policies ( edit ) Idaho proved to be one of the more receptive states to the progressive	History of Idaho
13	14	agenda of the late 19th century and early 20th century . The state embraced progressive policies such as women 's suffrage ( 1896 ) and prohibition ( 1916 ) before they became federal law . Idahoans were also strongly supportive of Free Silver . The pro-bimetallism Populist and Silver Republican parties of the late 1890s were particularly successful in the state . Eugenics was also a major part of the Progressive movement . In 1919 , the Idaho legislature passed an Act legalizing the forced sterilization of some persons institutionalized in the state . The act was vetoed by governor D.W. Davis , who doubted its scientific merits and believed it likely violated the Equal Protection clause of the US Constitution . In 1925 , the Idaho legislature passed a revised eugenics act , now tailored to avoid Davis 's earlier objections . The new law created a state board of eugenics , charged with : the sterilization of all feebleminded , insane , epileptics , habitual criminals , moral degenerates and sexual perverts who are a menace to society , and providing the means for ascertaining who are such persons . The Eugenics board was eventually folded into the state 's health commission ; between 1932 and 1964 , a total of 30 women and eight men in Idaho were sterilized under this law . The sterilization law was formally repealed in 1972 . All female survey crew - Minidoka Project , Idaho 1918 After statehood , Idaho 's	History of Idaho
14	15	economy began a gradual shift away from mining toward agriculture , particularly in the south . Older mining communities such as Silver City and Rocky Bar gave way to agricultural communities incorporated after statehood , such as Nampa and Twin Falls . Milner Dam on the Snake River , completed in 1905 , allowed for the formation of many agricultural communities in the Magic Valley region which had previously been nearly unpopulated . Meanwhile , some of the mining towns were able to reinvent themselves as resort communities , most notably in Blaine County , where the Sun Valley ski resort opened in 1936 . Others , such as Silver City and Rocky Bar , became ghost towns . 1950s to present ( edit ) In the north , mining continued to be an important industry for several more decades . The closure of the Bunker Hill Mine complex in Shoshone County in the early 1980s sent the region 's economy into a tailspin . Since that time , a substantial increase in tourism in north Idaho has helped the region to recover . Coeur d'Alene , a lake - side resort town , is a destination for visitors in the area . Beginning in the 1980s , there was a rise in North Idaho of a few right - wing extremist and `` survivalist '' political groups , most notably one holding Neo-Nazi views , the Aryan Nations . These groups were most heavily concentrated in the Panhandle region	History of Idaho
15	16	of the state , particularly in the vicinity of Coeur d'Alene . In 1992 a stand - off occurred between U.S. Marshals , the F.B.I. , and white separatist Randy Weaver and his family at their compound at Ruby Ridge , located near the small , northern Idaho town of Naples . The ensuing fire - fight and deaths of a U.S. Marshal , and Weaver 's son and wife gained national attention , and raised a considerable amount of controversy regarding the nature of acceptable force by the federal government in such situations . In 2001 , the Aryan Nations compound , which had been located in Hayden Lake , Idaho , was confiscated as a result of a court case , and the organization moved out of state . About the same time Boise installed an impressive stone Human Rights Memorial featuring a bronze statue of Anne Frank and quotations from her and many other writers extolling human freedom and equality . A recent poll found that Idaho citizens accept people of different cultures and ethnicities . The demographics of the state have changed . Due to this growth in different groups , especially in Boise , the economic expansion surged wrong - economic growth followed the high standard of living and resulted in the `` growth of different groups '' . The population of Idaho in the 21st Century has been described as sharply divided along geographic and cultural lines due to the center of the state	History of Idaho
16	17	being dominated by sparsely - populated national forests , mountain ranges and recreation sites : `` unless you 're willing to navigate a treacherous mountain pass , you ca n't even drive from the north to the south without leaving the state . '' The northern population gravitates towards Spokane , Washington , the heavily Mormon south - east population towards Utah , with an isolated Boise `` ( being ) the closest thing to a city - state that you 'll find in America . '' Nuclear fallout from Nevada Test site ( edit ) Per capita thyroid doses in the continental United States of iodine - 131 resulting from all exposure routes from all atmospheric nuclear tests conducted at the Nevada Test Site Idaho was one of several states that received the brunt of nuclear fallout from tests at the Nevada Test Site during the 1950s and 1960s . Reports published by the U.S. government indicate that many Idaho citizens perished and continue to suffer as a result of these tests . As of September 2007 , there were continuing efforts in the U.S. congress to compensate victims . See also ( edit ) History portal North America portal United States portal Idaho portal Main article : Historical outline of Idaho Bibliography of Idaho history History of the Western United States List of people from Idaho Territorial evolution of Idaho Timeline of Boise , Idaho References ( edit ) Jump up ^ `` Wilson Butte Cave '' .	History of Idaho
17	18	Bureau of Land Management . Archived from the original on 2011 - 08 - 24 . Retrieved 2007 - 12 - 24 . Jump up ^ National Park Service ( 2007 - 01 - 23 ) . `` National Register Information System '' . National Register of Historic Places . National Park Service . Jump up ^ `` Cataldo Mission '' . National Historic Landmark summary listing . National Park Service . Archived from the original on 2008 - 01 - 10 . Retrieved 2008 - 01 - 22 . Jump up ^ `` idahohistory.net '' ( PDF ) . Idahohistory.net . Retrieved 2 January 2018 . Jump up ^ Berrett , Kelton ; Eldon T. Bennett ( 2004 ) . `` Early History of Franklin '' . Franklin , Idaho . Retrieved 2007 - 06 - 03 . Jump up ^ The Rocky Mountain Region by Rick Newby , page 101 Jump up ^ Sharing the Dream : White Males in a Multicultural America By Dominic J. Pulera . Jump up ^ Reynolds Farley , ' The New Census Question about Ancestry : What Did It Tell Us ? ' , Demography , Vol. 28 , No. 3 ( August 1991 ) , pp. 414 , 421 . Jump up ^ Stanley Lieberson and Lawrence Santi , ' The Use of Nativity Data to Estimate Ethnic Characteristics and Patterns ' , Social Science Research , Vol. 14 , No. 1 ( 1985 ) , pp. 44 - 6 .	History of Idaho
18	19	Jump up ^ Stanley Lieberson and Mary C. Waters , ' Ethnic Groups in Flux : The Changing Ethnic Responses of American Whites ' , Annals of the American Academy of Political and Social Science , Vol. 487 , No. 79 ( September 1986 ) , pp. 82 - 86 . Jump up ^ Bureau , U.S. Census . `` American FactFinder - Results '' . Factfinder.census.gov . Retrieved 2 January 2018 . Jump up ^ Faust , Albert Bernhardt ( 1909 ) , The German Element in the United States with Special Reference to Its Political , Moral , Social , and Educational Influence , Boston : Houghton - Mifflin Jump up ^ Conzen , Kathleen ( 1980 ) , `` Germans '' , in Stephan Thernstrom , Harvard Encyclopedia of American Ethnic Groups , Belknap Press , ISBN 0674375122 Jump up ^ Richard Sisson , ed . The American Midwest ( 2007 ) , p. 208 ; Gross ( 1996 ) ; Johnson ( 1951 ) . Jump up ^ Trudy Knauss Paradis , et al. German Milwaukee ( 2006 ) Jump up ^ Census 2000 Jump up ^ ( 1 ) Jump up ^ Historical Overview : Basque Americans in the Columbia River Basin Archived 2007 - 02 - 12 at the Wayback Machine . Jump up ^ `` Basque Minister for Culture visits Mexico and the U.S.A. '' ( PDF ) . Basque News : informative newsletter about the Basque Autonomous Community . Euskko Jaurlaritzako Lehendakaritza.	History of Idaho
19	20	2005 - 07 - 25 . p. 3 . Archived from the original ( PDF ) on 2007 - 07 - 11 . Retrieved 2007 - 06 - 06 . Jump up ^ Basque Museum and Cultural Center Archived 2007 - 06 - 08 at the Wayback Machine . Jump up ^ Zhu , Liping ( 1997 ) . Chinaman 's chance : the Chinese on the Rocky Mountain mining frontier . Niwot , Colorado : University Press of Colorado . ISBN 0 - 87081 - 467 - 2 . OCLC 36977193 . Jump up ^ 12 Stat. 808 Jump up ^ Idaho Bureau of Mines and Geology , Pamphlet 68 , by W.W. Staley of the University of Idaho . For the United States Statistical Abstract . Jump up ^ Thomas C. Leonard ( 2016 ) . Illiberal Reformers : Race , Eugenics and American Economics in the Progressive Era . Princeton University Press , ISBN 978 - 0 - 691 - 17586 - 7 Jump up ^ Lyster , L. ( March 14 , 2014 ) . `` Idaho sterilization law vetoed by Governor D.R. ( sic ) Davis '' . Eugenicsarchive.ca . Retrieved June 7 , 2017 . Jump up ^ Kersten , L. ( March 14 , 2014 ) . `` Idaho legislature passes `` An act to create a state board of eugenics '' `` . Eugenicsarchive.ca . Retrieved June 7 , 2017 . Jump up ^ Paul , Julius ( 1965 ) . ``	History of Idaho
20	21	'' Three Generations of Imbeciles Are Enough ' : State Eugenic Sterilization Laws in American Thought and Practice. `` '' . Washington , D.C. : Walter Reed Army Institute of Research , cited by Kaelber , L. ( 2011 ) . Eugenics : Compulsory Sterilization in 50 American States . Retrieved June 7 , 2017 . Jump up ^ Idaho Session Laws 1972 , page 27 , ch. 21 , enacted Feb. 19 , 1972 . Jump up ^ Michael J. Trinklein ( 2010 ) Lost States : True Stories of Texlahoma , Transylvania , and Other States That Never Made It . Quirk Books . ISBN 978 - 1 - 59474 - 410 - 5 , p. 63 Bibliography ( edit ) Fisher , Vardis ; Federal Writers ' Project ( 1938 ) . Idaho Encyclopedia . Caldwell , Idaho : Caxton Printers , Ltd . OCLC 962624 . Beal , Merrill D. ; Merle W. Wells ( 1953 ) . History of Idaho . New York : Lewis Historical Pub. Co . OCLC 6565869 . Bancroft , Hubert Howe ; Frances Fuller Victor ( 1890 ) . History of Washington , Idaho and Montana : 1845 - 1889 . San Francisco : History Co . OCLC 9291580 . Sims , Robert C. ; Hope A. Benedict ( 1992 ) . Idaho 's Governors . Boise , Idaho : College of Social Sciences and Public Affairs , Boise State University . ISBN 0 - 932129 - 13 - 7	History of Idaho
21	22	. Dale , Harrison Clifford , The Ashley - Smith Explorations and the Discovery of A Central Route to the Pacific , 1822 - 1829 . Cleveland : Arthur H. Clark , 1918 . External links ( edit ) Idaho History Clayton History Years in Idaho ( 1890 -- present ) 1890 1891 1892 1893 1894 1895 1896 1897 1898 1899 1900 1901 1902 1903 1904 1905 1906 1907 1908 1909 1910 1911 1912 1913 1914 1915 1916 1917 1918 1919 1920 1921 1922 1923 1924 1925 1926 1927 1928 1929 1930 1931 1932 1933 1934 1935 1936 1937 1938 1939 1940 1941 1942 1943 1944 1945 1946 1947 1948 1949 1950 1951 1952 1953 1954 1955 1956 1957 1958 1959 1960 1961 1962 1963 1964 1965 1966 1967 1968 1969 1970 1971 1972 1973 1976 1977 1978 1979 1980 1981 1982 1984 1985 1986 2017 2018 2019 2020 History of the United States by polity States Alabama Alaska Arizona Arkansas California Colorado Connecticut Delaware Florida Georgia Hawaii Idaho Illinois Indiana Iowa Kansas Kentucky Louisiana Maine Maryland Massachusetts Michigan Minnesota Mississippi Missouri Montana Nebraska Nevada New Hampshire New Jersey New Mexico New York North Carolina North Dakota Ohio Oklahoma Oregon Pennsylvania Rhode Island South Carolina South Dakota Tennessee Texas Utah Vermont Virginia Washington West Virginia Wisconsin Wyoming Federal district Washington , D.C. Insular areas American Samoa Guam Northern Mariana Islands Puerto Rico U.S. Virgin Islands Outlying islands Baker Island Howland Island Jarvis Island Johnston Atoll Kingman Reef Midway Atoll Navassa	History of Idaho
22	23	Island Palmyra Atoll Wake Island State of Idaho Boise ( capital ) Topics Index Bibliography Geography Government Delegations Governors History Images People Symbols Tourist attractions Seal of Idaho Society Crime Culture Demographics Economy Education Politics Regions Boise metropolitan area Cache Valley Central Idaho Columbia River Plateau Eastern Idaho Great Basin Inland Empire Magic Valley North Central Idaho Idaho Panhandle Palouse Southern Idaho Southwestern Idaho Treasure Valley Wasatch Range Wood River Valley Yellowstone Larger cities Boise Nampa Meridian Idaho Falls Pocatello Caldwell Coeur d'Alene Twin Falls Lewiston Post Falls Rexburg Moscow Eagle Smaller cities Kuna Ammon Chubbuck Mountain Home Hayden Blackfoot Garden City Jerome Burley Counties Ada Adams Bannock Bear Lake Benewah Bingham Blaine Boise Bonner Bonneville Boundary Butte Camas Canyon Caribou Cassia Clark Clearwater Custer Elmore Franklin Fremont Gem Gooding Idaho Jefferson Jerome Kootenai Latah Lemhi Lewis Lincoln Madison Minidoka Nez Perce Oneida Owyhee Payette Power Shoshone Teton Twin Falls Valley Washington Retrieved from `` https://en.wikipedia.org/w/index.php?title=History_of_Idaho&oldid=837223854 '' Categories : History of Idaho History of the Northwestern United States Industrial Workers of the World History of the United States by state History of the Rocky Mountains Hidden categories : All articles with dead external links Articles with dead external links from January 2018 Webarchive template wayback links All articles with unsourced statements Articles with unsourced statements from May 2016 Articles with unsourced statements from December 2008 Articles with unsourced statements from November 2011 Articles with unsourced statements from September 2007 Talk Contents About Wikipedia Français 日本 語 Русский Edit links This	History of Idaho
23	24	page was last edited on 19 April 2018 , at 14 : 02 . Text is available under the Creative Commons Attribution - ShareAlike License ; additional terms may apply . By using this site , you agree to the Terms of Use and Privacy Policy . Wikipedia ® is a registered trademark of the Wikimedia Foundation , Inc. , a non-profit organization . About Wikipedia	History of Idaho
24	25	I Will Always Love You - wikipedia I Will Always Love You Jump to : navigation , search This article is about the Dolly Parton song also recorded by Whitney Houston . For other uses , see I Will Always Love You ( disambiguation ) . `` I Will Always Love You '' 1982 re-release picture sleeve Single by Dolly Parton from the album Jolene B - side `` Lonely Comin ' Down '' ( 1974 version ) `` Do I Ever Cross Your Mind '' ( 1982 version ) Released June 6 , 1974 ( 1974 - 06 - 06 ) Format 7 - inch single Recorded June 13 , 1973 Genre Country Length 2 : 53 Label RCA Songwriter ( s ) Dolly Parton Producer ( s ) Bob Ferguson Dolly Parton 1970s singles chronology `` Jolene '' ( 1973 ) `` I Will Always Love You '' ( 1974 ) `` Love Is Like a Butterfly '' ( 1974 ) Dolly Parton 1980s singles chronology `` Heartbreak Express '' ( 1982 ) `` I Will Always Love You '' ( 1982 ) `` Hard Candy Christmas '' ( 1982 ) `` I Will Always Love You '' is a song originally written and recorded in 1973 by American singer - songwriter Dolly Parton . Her country version of the track was released in 1974 as a single and was written as a farewell to her one - time partner and mentor of seven years , Porter Wagoner	I Will Always Love You
25	26	, following Parton 's decision to pursue a solo career . Parton 's version of `` I Will Always Love You '' was a commercial success . It reached number one on the Billboard Hot Country Songs chart twice . It first reached number one in June 1974 , and then in October 1982 , with her re-recording on the soundtrack of the movie version of The Best Little Whorehouse in Texas . Thus , she achieved the number one position twice with the same song , a rare feat that Chubby Checker had done previously with `` The Twist '' becoming number one in 1960 and again in 1962 . Whitney Houston recorded her version of the song for the 1992 film The Bodyguard . Her single spent 14 weeks at number one on the Billboard Hot 100 chart making it one of the best - selling singles of all time . It also holds the record for being the best - selling single by a woman in music history . Houston 's version of `` I Will Always Love You '' re-entered the charts in 2012 after her death , making it the second single ever to reach the top three on the Billboard Hot 100 in separate chart runs . The song has been recorded by many other significant artists including Linda Ronstadt and John Doe . Contents ( hide ) 1 Background and composition 2 Reception 3 Critical reception 4 Track listing 5 Credits and personnel	I Will Always Love You
26	27	6 Charts 7 Whitney Houston version 7.1 Background 7.2 Reception 7.2. 1 Chart performance 7.2. 2 Critical reception 7.2. 3 Accolades 7.2. 4 Controversy 7.3 Music video 7.4 Formats and track listings 7.5 Credits and personnel 7.6 Charts 7.6. 1 All - time charts 7.6. 2 Billboard Magazine Hot 100 Anniversary Charts 7.7 Certifications 7.8 Tributes 8 Other versions 9 See also 10 References 11 External links Background and composition ( edit ) `` I Will Always Love You '' An 18 second sample of Parton 's 1982 recording of `` I Will Always Love You '' . Problems playing this file ? See media help . A-side label of the original 1974 45 rpm release Country music singer - songwriter Dolly Parton wrote the song in 1973 for her one - time partner and mentor Porter Wagoner , from whom she was separating professionally after a seven - year partnership . She recorded it in RCA 's Studio B in Nashville on June 13 , 1973 . `` I Will Always Love You '' was issued on June 6 , 1974 , as the second single from Parton 's thirteenth solo studio album , Jolene ( 1974 ) . In 1982 , Parton re-recorded the song , when it was included on the soundtrack to the film The Best Little Whorehouse in Texas . In addition to the 1982 re-recording for the soundtrack album , Parton 's original 1974 recording of the song also appeared in Martin Scorsese 's	I Will Always Love You
